	title	link_to_tools	tag	views	citations_amount	altmetric_score	journal	authors	topics	abstract	date	citations_link	link	doi	references	all_links	altmetric_link	year
81	"A knowledge model for analysis and simulation of regulatory

  networks"	http://genome6.cpmc.columbia.edu/tkoike/ontology/,http://ar345@columbia.edu	ONTOLOGY	6	44	3	Bioinformatics Oxford	Andrey Rzhetsky,Tomohiro Koike,Sergey Kalachikov,Shawn M. Gomez,Michael Krauthammer,Sabina H. Kaplan,Pauline Kra,James J. Russo,Carol Friedman	NULL	Motivation: In order to aid in hypothesis-driven experimentalgene discovery, we are designing a computer application for theautomatic retrieval of signal transduction data from electronicversions of scientific publications using natural languageprocessing (NLP) techniques, as well as for visualizing and editingrepresentations of regulatory systems. These systems describe bothsignal transduction and biochemical pathways within complexmulticellular organisms, yeast, and bacteria. This computerapplication in turn requires the development of a domain-specificontology, or knowledge model.Results: We introduce an ontological model for the representationof biological knowledge related to regulatory networks invertebrates. We outline a taxonomy of the concepts, define their‘whole-to-part’ relationships, describe the propertiesof major concepts, and outline a set of the most important axioms.The ontology is partially realized in a computer system designed toaid researchers in biology and medicine in visualizing and editing arepresentation of a signal transduction system.Availability: The knowledge model can be reviewed athttp://genome6.cpmc.columbia.edu/tkoike/ontology/Contact:ar345@columbia.edu*To whom correspondence should beaddressed.	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200008&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1120/214638/A-knowledge-model-for-analysis-and-simulation-of	10.1093/bioinformatics/16.12.1120	NULL	http://genome6.cpmc.columbia.edu/tkoike/ontology/,http://ar345@columbia.edu	https://badges.altmetric.com/?size=128&score=3&types=dddddddd	NULL
82	"Analysis of conservation and substitutions of secondary

  structure elements within protein superfamilies"	http://www-cryst.bioc.cam.ac.uk/~kenji/ssdb/,http://kenji@cryst.bioc.cam.ac.uk	ORIGINAL PAPER	7	13	0	Bioinformatics Oxford	Kenji Mizuguchi,Tom L. Blundell	NULL	Motivation: Structural alignments of superfamily members oftenexhibit insertions and deletions of secondary structure elements(SSEs), yet conserved subsets of SSEs appear to be important formaintaining the fold and facilitating common functionalities.Results: A database of aligned SSEs was constructed from thestructure-based alignments of protein superfamily members in theCAMPASS database. SSEs were classified into several types on thebasis of their length and solvent accessibility and counts were madefor the replacements of SSEs in different types at structurallyaligned positions. The results, summarized as log-odds substitutionmatrices, can be used for two types of comparisons: (1) structureagainst structure, both with secondary structure assignments; and(2) structure against sequence with predicted secondary structures.The conservation of SSEs at each alignment position was defined asthe deviation of observed SSE frequencies from the uniformdistribution. This offers a useful resource to define and examinethe core of superfamily folds. Even when the structure of only asingle member of a superfamily is known, the extended method can beused to predict the conservation of SSEs. Such information will beuseful when modelling the structure of other members of asuperfamily or identifying structurally and functionally importantpositions in the fold.Availability: The database is available on the world wide web athttp://www-cryst.bioc.cam.ac.uk/~kenji/ssdb/.The conservation of SSEs was translated into colour values and canbe visualized through the web interface.Contact:kenji@cryst.bioc.cam.ac.uk*To whom correspondence should beaddressed.	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200007&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1111/214619/Analysis-of-conservation-and-substitutions-of	10.1093/bioinformatics/16.12.1111	NULL	http://www-cryst.bioc.cam.ac.uk/~kenji/ssdb/,http://kenji@cryst.bioc.cam.ac.uk	NULL	NULL
83	"CONSEL: for assessing the confidence of phylogenetic tree
  selection"	http://www.ism.ac.jp/~shimo/,http://shimo@ism.ac.jp	APPLICATIONS NOTE	320	0	1	Bioinformatics Oxford	Hidetoshi Shimodaira,Masami Hasegawa	NULL	Summary: CONSEL is a program to assess the confidence of thetree selection by giving thep-values for the trees. The mainthrust of the program is to calculate thep-value of theApproximately Unbiased (AU) test using the multi-scale bootstraptechnique. This p-value is less biased than the other conventionalp-values such as the Bootstrap Probability (BP), theKishino–Hasegawa (KH) test, the Shimodaira–Hasegawa (SH)test, and the Weighted Shimodaira–Hasegawa (WSH) test. CONSELcalculates all thesep-values from the output of the phylogenyprogram packages such as Molphy, PAML, and PAUP*.Furthermore, CONSEL is applicable to a wide class of problems wherethe BPs are available.Availability: The programs are written in C language. The sourcecode for Unix and the executable binary for DOS are found athttp://www.ism.ac.jp/~shimo/Contact:shimo@ism.ac.jp	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500027&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1246/225955/CONSEL-for-assessing-the-confidence-of	10.1093/bioinformatics/17.12.1246	NULL	http://www.ism.ac.jp/~shimo/,http://shimo@ism.ac.jp	https://badges.altmetric.com/?size=128&score=1&types=tttttttt	NULL
84	"EVA: continuous automatic evaluation of protein structure
  prediction servers"	http://cubic.bioc.columbia.edu/eva,http://eva@cubic.bioc.columbia.edu	APPLICATIONS NOTE	24	134	0	Bioinformatics Oxford	"Volker A. Eyrich,Marc
A. Martı́-Renom,Dariusz Przybylski,Mallur S. Madhusudhan,András Fiser,Florencio Pazos,Alfonso Valencia,Andrej Sali,Burkhard Rost"	NULL	Summary: Evaluation of protein structure prediction methodsis difficult and time-consuming. Here, we describe EVA, a web serverfor assessing protein structure prediction methods, in an automated,continuous and large-scale fashion. Currently, EVA evaluates theperformance of a variety of prediction methods available through theinternet. Every week, the sequences of the latest experimentallydetermined protein structures are sent to prediction servers, resultsare collected, performance is evaluated, and a summary is publishedon the web. EVA has so far collected data for more than 3000 proteinchains. These results may provide valuable insight to both developersand users of prediction methods.Availability:http://cubic.bioc.columbia.edu/eva.Contact:eva@cubic.bioc.columbia.edu*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500025&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1242/225889/EVA-continuous-automatic-evaluation-of-protein	10.1093/bioinformatics/17.12.1242	NULL	http://cubic.bioc.columbia.edu/eva,http://eva@cubic.bioc.columbia.edu	NULL	NULL
85	MEGA2: molecular evolutionary genetics analysis software	http://www.megasoftware.net,http://s.kumar@asu.edu	APPLICATIONS NOTE	193	0	9	Bioinformatics Oxford	Sudhir Kumar,Koichiro Tamura,Ingrid B. Jakobsen,Masatoshi Nei	NULL	Summary: We have developed a new software package, MolecularEvolutionary Genetics Analysis version 2 (MEGA2), for exploring andanalyzing aligned DNA or protein sequences from an evolutionaryperspective. MEGA2 vastly extends the capabilities of MEGA version 1by: (1) facilitating analyses of large datasets; (2) enablingcreation and analyses of groups of sequences; (3) enablingspecification of domains and genes; (4) expanding the repertoire ofstatistical methods for molecular evolutionary studies; and (5)adding new modules for visual representation of input data and outputresults on the Microsoft Windows platform.Availability:http://www.megasoftware.net.Contact:s.kumar@asu.edu*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500026&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1244/225915/MEGA2-molecular-evolutionary-genetics-analysis	10.1093/bioinformatics/17.12.1244	NULL	http://www.megasoftware.net,http://s.kumar@asu.edu	https://badges.altmetric.com/?size=128&score=9&types=dddddddd	NULL
86	"ToolShop: prerelease inspections for protein structure
  prediction servers"	http://BioInfo.PL/ToolShop/,http://leszek@bioinfo.pl,http://BioInfo.PL/LiveBench/	APPLICATIONS NOTE	11	2	0	Bioinformatics Oxford	Leszek Rychlewski	NULL	Summary: The ToolShop server offers a possibility to comparea protein tertiary structure prediction server with other popularservers before releasing it to the public. The comparison isconducted on a set of 203 proteins and the collected models arecompared with over 20 other programs using various assessmentprocedures. The evaluation lastscaone week.Availability: The ToolShop server is available athttp://BioInfo.PL/ToolShop/. Theadministrator should be contacted to couple the tested server to theevaluation suite.Contact:leszek@bioinfo.plSupplementaryinformation: The evaluation procedures are similar to thoseimplemented in the continuous online server evaluation program,LiveBench. Additional information is available from its homepage(http://BioInfo.PL/LiveBench/).	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500024&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1240/225861/ToolShop-prerelease-inspections-for-protein	10.1093/bioinformatics/17.12.1240	NULL	http://BioInfo.PL/ToolShop/,http://leszek@bioinfo.pl,http://BioInfo.PL/LiveBench/	NULL	NULL
87	TMCompare: transmembrane region sequence and structure	NULL	APPLICATIONS NOTE	12	0	0	Bioinformatics Oxford	R. C. Togawa,J. F. Antoniw,J. G. L. Mullins	NULL	Summary: TMCompare is an alignment and visualization tool for comparison of sequence information for membrane proteins contained in SWISS-PROT entries, with structural information contained in PDB files. The program can be used for:detection of breaks in α helical structure of transmembrane regions;examination of differences in coverage between PDB and SWISS-PROT files;examination of annotation differences between PDB files and associated SWISS-PROT files;examination and comparison of assigned PDB α helix regions and assigned SWISS-PROT transmembrane regions in linear sequence (one letter code) format;examination of these differences in 3D using the CHIME plugin, allowing;analysis of the α and non-α content of transmembrane regions.	2001-12-01	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fbioinformatics%2farticle%2f17%2f12%2f1238%2f225830	https://academic.oup.com/bioinformatics/article/17/12/1238/225830/TMCompare-transmembrane-region-sequence-and	10.1093/bioinformatics/17.12.1238	NULL	http://www.membraneproteins.org/TMCompare,http://tmcompare@membraneproteins.org	NULL	NULL
88	ProPred: prediction of HLA-DR binding sites	http://www.imtech.res.in/raghava/propred/,http://raghava@imtech.res.in,http://www.imtech.res.in/raghava/propred/page3.html	APPLICATIONS NOTE	92	405	0	Bioinformatics Oxford	Harpreet Singh,G. P. S. Raghava	NULL	Summary: ProPred is a graphical web tool for predicting MHCclass II binding regions in antigenic protein sequences. The serverimplement matrix based prediction algorithm, employingamino-acid/position coefficient table deduced from literature. Thepredicted binders can be visualized either as peaks in graphicalinterface or as colored residues in HTML interface. This server mightbe a useful tool in locating the promiscuous binding regions that canbind to several HLA-DR alleles.Availability: The server is available athttp://www.imtech.res.in/raghava/propred/Contact:raghava@imtech.res.inSupplementaryinformation:http://www.imtech.res.in/raghava/propred/page3.html*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500022&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1236/225800/ProPred-prediction-of-HLA-DR-binding-sites	10.1093/bioinformatics/17.12.1236	NULL	http://www.imtech.res.in/raghava/propred/,http://raghava@imtech.res.in,http://www.imtech.res.in/raghava/propred/page3.html	NULL	NULL
89	"mmsearch: a motif arrangement language and search
  program"	http://hits.isb-sib.ch,http://Thomas.Junier@isrec.unil.ch,http://hits.isb-sib.ch/~tjunier/mmsearch/doc	APPLICATIONS NOTE	13	3	0	Bioinformatics Oxford	Thomas Junier,Marco Pagni,Philipp Bucher	NULL	Summary: This paper presents a language for describingarrangements of motifs in biological sequences, and a program thatuses the language to find the arrangements in motif match databases.The program does not by itself search for the constituent motifs, andis thus independent of how they are detected, which allows it to usemotif match data of various origins.Availability: The program can be tested online athttp://hits.isb-sib.chand thedistribution is available fromftp://ftp.isrec.isb-sib.ch/pub/software/unix/mmsearch-1.0.tar.gzContact:Thomas.Junier@isrec.unil.chSupplementaryinformation: The full documentation aboutmmsearchisavailable fromhttp://hits.isb-sib.ch/~tjunier/mmsearch/doc.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500021&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1234/225758/mmsearch-a-motif-arrangement-language-and-search	10.1093/bioinformatics/17.12.1234	NULL	http://hits.isb-sib.ch,http://Thomas.Junier@isrec.unil.ch,http://hits.isb-sib.ch/~tjunier/mmsearch/doc	NULL	NULL
90	"Promoter Extraction from GenBank (PEG): automatic extraction of
  eukaryotic promoter sequences in large sets of genes"	http://zhangt@cshl.org,http://mzhang@cshl.org	APPLICATIONS NOTE	51	8	0	Bioinformatics Oxford	Theresa Zhang,Michael Zhang	NULL	Summary: Promoter Extraction from GenBank (PEG) extractspromoter sequences for large sets of genes using information presentin GenBank. For a gene whose promoter sequence is not found, PEG willattempt to extract promoter sequences of the orthologous genesinstead.Availability: It is freely available to academic users atftp://cshl.org/pub/science/mzhanglab/theresa/.Contact:zhangt@cshl.org;mzhang@cshl.org*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500020&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1232/225721/Promoter-Extraction-from-GenBank-PEG-automatic	10.1093/bioinformatics/17.12.1232	NULL	http://zhangt@cshl.org,http://mzhang@cshl.org	NULL	NULL
91	Sequence type analysis and recombinational tests (START)	http://outbreak.ceid.ox.ac.uk/software.htm,http://keith.jolley@ceid.ox.ac.uk	APPLICATIONS NOTE	61	367	0	Bioinformatics Oxford	K. A. Jolley,E. J. Feil,M.-S. Chan,M. C. J. Maiden	NULL	Summary: The 32-bit Windows application START is implementedusing Visual Basic and C++and performs analyses toaid in the investigation of bacterial population structure usingmultilocus sequence data. These analyses include data summary,lineage assignment, and tests for recombination and selection.Availability: START is available athttp://outbreak.ceid.ox.ac.uk/software.htm.Contact:keith.jolley@ceid.ox.ac.uk*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500019&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1230/225686/Sequence-type-analysis-and-recombinational-tests	10.1093/bioinformatics/17.12.1230	NULL	http://outbreak.ceid.ox.ac.uk/software.htm,http://keith.jolley@ceid.ox.ac.uk	NULL	NULL
92	"Saturated BLAST: an automated multiple intermediate sequence

  search used to detect distant homology"	http://bioinformatics.burnham-inst.org/xblast,http://liwz@sdsc.edu,http://adam@burnham-inst.org	ORIGINAL PAPER	18	41	0	Bioinformatics Oxford	Weizhong Li,Frederic Pio,Krzysztof Pawłowski,Adam Godzik	NULL	Motivation: Two proteins can have a similar 3-dimensionalstructure and biological function, but have sequences sufficientlydifferent that traditional protein sequence comparison algorithms donot identify their relationship. The desire to identify suchrelations has led to the development of more sensitive sequencealignment strategies. One such strategy is the Intermediate SequenceSearch (ISS), which connects two proteins through one or moreintermediate sequences. In its brute-force implementation, ISS is astrategy that repetitively uses the results of the previous query asnew search seeds, making it time-consuming and difficult toanalyze.Results: Saturated BLAST is a package that performs ISS in anefficient and automated manner. It was developed using Perl andPerl/Tk and implemented on the LINUX operating system. Starting witha protein sequence, Saturated BLAST runs a BLAST search andidentifies representative sequences for the next generation ofsearches. The procedure is run until convergence or until somepredefined criteria are met. Saturated BLAST has a friendly graphicuser interface, a built-in BLAST result parser, several multiplealignment tools, clustering algorithms and various filters for theelimination of false positives, thereby providing an easy way toedit, visualize, analyze, monitor and control the search. Besidesdetecting remote homologies, Saturated BLAST can be used to maintainprotein family databases and to search for new genes in genomicdatabases.Availability: Free fromhttp://bioinformatics.burnham-inst.org/xblastContact:liwz@sdsc.eduoradam@burnham-inst.org*To whom correspondence should beaddressed.	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200006&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1105/214598/Saturated-BLAST-an-automated-multiple-intermediate	10.1093/bioinformatics/16.12.1105	NULL	http://bioinformatics.burnham-inst.org/xblast,http://liwz@sdsc.edu,http://adam@burnham-inst.org	NULL	NULL
93	Protein domain decomposition using a graph-theoretic approach	http://compbio.ornl.gov/structure/domainparser/,http://xyn@ornl.gov	ORIGINAL PAPER	30	68	0	Bioinformatics Oxford	Ying Xu,Dong Xu,Harold N. Gabow	NULL	Motivation: Automatic decomposition of a multi-domain proteininto individual domains represents a highly interesting and unsolvedproblem. As the number of protein structures in PDB is growing at anexponential rate, there is clearly a need for more reliable andefficient methods for protein domain decomposition simply to keepthe domain databases up-to-date.Results: We present a new algorithm for solving the domaindecomposition problem, using a graph-theoretic approach. We haveformulated the problem as a network flow problem, in which eachresidue of a protein is represented as a node of the network andeach residue–residue contact is represented as an edge with aparticularcapacity, depending on the type of the contact.A two-domain decomposition problem is solved by finding a bottleneck(or a minimum cut) of the network, which minimizes the totalcross-edge capacity, using the classical Ford–Fulkersonalgorithm. A multi-domain decomposition problem is solved throughrepeatedly solving a series of two-domain problems. The algorithmhas been implemented as a computer program, calledDomainParser. We have tested the program on a commonly usedtest set consisting of 55 proteins. The decomposition results are78.2% in agreement with the literature on both the number ofdecomposed domains and the assignments of residues to each domain,which compares favorably to existing programs. On the subset oftwo-domain proteins (20 in number), the program assigned 96.7% ofthe residues correctly when we require that the number of decomposeddomains is two.Availability: The executable of DomainParser and its web serverare available athttp://compbio.ornl.gov/structure/domainparser/.Contact:xyn@ornl.gov*To whom correspondence should beaddressed.	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200005&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1091/214575/Protein-domain-decomposition-using-a-graph	10.1093/bioinformatics/16.12.1091	NULL	http://compbio.ornl.gov/structure/domainparser/,http://xyn@ornl.gov	NULL	NULL
94	Optimizing reduced-space sequence analysis	http://www.cse.ucsc.edu/research/compbio/sam.html,http://www.cse.ucsc.edu/research/kestrel,http://rph@cse.ucsc.edu	ORIGINAL PAPER	3	15	0	Bioinformatics Oxford	Raymond Wheeler,Richard Hughey	NULL	Motivation: Dynamic programming is the core algorithm of sequencecomparison, alignment and linear hidden Markov model (HMM) training.For a pair of sequence lengthsmandn, the problem canbe solved readily inO(mn)time andO(mn)space. Thecheckpoint algorithm introduced by Griceet al.(CABIOS,13, 45–53, 1997) runs inO(Lmn)time andO(LmL√n)space,whereLis a positive integer determined bym,n, and the amount of available workspace. The algorithm isappropriate for many string comparison problems, including all-pathsand single-best-path hidden Markov model training, and is readilyparallelizable. The checkpoint algorithm has a diagonal version thatcan solve the single-best-path alignment problem inO(mn)timeandO(m + n)space.Results: In this work, we improve performance by analyzingoptimal checkpoint placement. The improved row checkpoint algorithmperforms up to one half the computation of the original algorithm.The improved diagonal checkpoint algorithm performs up to 35% fewercomputational steps than the original. We modified the SAM hiddenMarkov modeling package to use the improved row checkpointalgorithm. For a fixed sequence length, the new version is up to 33%faster for all-paths and 56% faster for single-best-path HMMtraining, depending on sequence length and allocated memory. Over atypical set of protein sequence lengths, the improvement is~10%.Availability: The SAM hidden Markov modeling package is freelyavailable for academic use fromhttp://www.cse.ucsc.edu/research/compbio/sam.html.The C++code used to find optimal checkpoint placements isavailable fromhttp://www.cse.ucsc.edu/research/kestrel.Contact:rph@cse.ucsc.edu2Current address: Neomorphic, 2612 8th St.,Berkeley, CA 94710, USA.3To whom correspondence may beaddressed.	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200004&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1082/214553/Optimizing-reduced-space-sequence-analysis	10.1093/bioinformatics/16.12.1082	NULL	http://www.cse.ucsc.edu/research/compbio/sam.html,http://www.cse.ucsc.edu/research/kestrel,http://rph@cse.ucsc.edu	NULL	NULL
95	Frequency-domain analysis of biomolecular sequences	http://anastas@ee.columbia.edu	ORIGINAL PAPER	9	132	0	Bioinformatics Oxford	Dimitris Anastassiou	NULL	Motivation: Frequency-domain analysis of biomolecular sequencesis hindered by their representation as strings of characters. Ifnumerical values are assigned to each of these characters, then theresulting numerical sequences are readily amenable to digital signalprocessing.Results: We introduce new computational and visual tools forbiomolecular sequences analysis. In particular, we provide anoptimization procedure improving upon traditional Fourier analysisperformance in distinguishing coding from noncoding regions in DNAsequences. We also show that the phase of a properly defined Fouriertransform is a powerful predictor of the reading frame of proteincoding regions. Resulting color maps help in visually identifyingnot only the existence of protein coding areas for both DNA strands,but also the coding direction and the reading frame for each of theexons. Furthermore, we demonstrate that color spectrograms canvisually provide, in the form of local ‘texture’,significant information about biomolecular sequences, thusfacilitating understanding of local nature, structure andfunction.Availability: All software for techniques described in this paperis available from the author upon request.Contact:anastas@ee.columbia.edu	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200003&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1073/214538/Frequency-domain-analysis-of-biomolecular	10.1093/bioinformatics/16.12.1073	NULL	http://anastas@ee.columbia.edu	NULL	NULL
96	"Neural network schemes for detecting rare events in human

  genomic DNA"	http://128.46.200.193/sharing/bioinfo,http://wooyoung@ecn.purdue.edu,http://ersoy@ecn.purdue.edu	ORIGINAL PAPER	81	17	0	Bioinformatics Oxford	Wooyoung Choe,Okan K. Ersoy,Minou Bina	NULL	Motivation: Many problems in molecular biology as well as otherareas involve detection of rare events in unbalanced data. Wedevelop two sample stratification schemes in conjunction with neuralnetworks for rare event detection in such databases. Samplestratification is a technique for making each class in a sample haveequal influence on decision making. The first scheme proposedstratifies a sample by adding up the weighted sum of the derivativesduring the backward pass of training. The second scheme proposeduses a technique of modified bootstrap aggregating. After trainingneural networks with multiple sets of bootstrapped examples of therare event classes and subsampled examples of common event classes,multiple voting for classification is performed.Results: These two schemes make rare event classes have a betterchance of being included in the sample used for training neuralnetworks and thus improve the classification accuracy for rare eventdetection. The experimental performance of the two schemes using twosets of human DNA sequences as well as another set of Gaussian dataindicates that proposed schemes have the potential of significantlyimproving accuracy of neural networks to recognize rare events.Availability: Web service is athttp://128.46.200.193/sharing/bioinfo.Contact:wooyoung@ecn.purdue.edu;ersoy@ecn.purdue.edu	2000-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000166611200002&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/16/12/1062/214506/Neural-network-schemes-for-detecting-rare-events	10.1093/bioinformatics/16.12.1062	NULL	http://128.46.200.193/sharing/bioinfo,http://wooyoung@ecn.purdue.edu,http://ersoy@ecn.purdue.edu	NULL	NULL
97	The need for a human gene index	NULL	EDITORIAL	3	0	0	Bioinformatics Oxford	C. Victor Jongeneel	NULL	NULL	2000-12-01	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fbioinformatics%2farticle%2f16%2f12%2f1059%2f214468	https://academic.oup.com/bioinformatics/article/16/12/1059/214468/The-need-for-a-human-gene-index	10.1093/bioinformatics/16.12.1059	NULL	NULL	NULL	NULL
98	"Progenetix.net: an online repository for molecular cytogenetic
  aberration data"	http://www.progenetix.net,http://www.progenetix.net,http://mbaudis@stanford.edu	APPLICATIONS NOTE	16	131	0	Bioinformatics Oxford	Michael Baudis,Michael L. Cleary	NULL	Summary: Through sequencing projects and, more recently,array-based expression analysis experiments, a wealth of genetic datahas become accessible via online resources. In contrast, few of the(molecular-) cytogenetic aberration data collected in the lastdecades are available in a format suitable for data miningprocedures.www.progenetix.netis a new onlinerepository for previously published chromosomal aberration data,allowing the addition of band-specific information about chromosomalimbalances to oncologic data analysis efforts.Availability:http://www.progenetix.netContact:mbaudis@stanford.edu*To whom correspondence should beaddressed.	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500018&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1228/225653/Progenetix-net-an-online-repository-for-molecular	10.1093/bioinformatics/17.12.1228	NULL	http://www.progenetix.net,http://www.progenetix.net,http://mbaudis@stanford.edu	NULL	NULL
99	"MELTING, computing the melting temperature of nucleic acid
  duplex"	http://www.pasteur.fr/recherche/unites/neubiomol/meltinghome.html,http://bioweb.pasteur.fr/seqanal/interfaces/melting.html,http://nl223@cus.cam.ac.uk	APPLICATIONS NOTE	60	79	0	Bioinformatics Oxford	"Nicolas Le
   Novère"	NULL	Summary: MELTING computes the enthalpy and entropy of anoligonucleotide duplex helix–coil transition, and then itsmelting temperature. The program uses the method ofnearest-neighbours. The set of thermodynamic parameters can be easilycustomized. The program provides several correction methods for theconcentration of salt. MELTING is a free program, available at nocost and open-source. Perl scripts are provided to show how MELTINGcan be used to construct more ambitious programs.Availability: MELTING is available for several platforms(http://www.pasteur.fr/recherche/unites/neubiomol/meltinghome.html)and is accessible via a www server (http://bioweb.pasteur.fr/seqanal/interfaces/melting.html).Contact:nl223@cus.cam.ac.uk	2001-12-01	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000173050500017&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/bioinformatics/article/17/12/1226/225621/MELTING-computing-the-melting-temperature-of	10.1093/bioinformatics/17.12.1226	NULL	http://www.pasteur.fr/recherche/unites/neubiomol/meltinghome.html,http://bioweb.pasteur.fr/seqanal/interfaces/melting.html,http://nl223@cus.cam.ac.uk	NULL	NULL
